Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
coxa_5_link,0.0841776002576045,-0.0461779739081913,-2.2218190662282E-08,0,0,0,3.09350209867758,0.0294315495230903,0.0124314311436931,-5.79551470670104E-09,0.0452732382073037,-2.22228995830086E-08,0.0516882160049569,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_5_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_5_link.STL,,Coxa_5-1,Coxa_5_coor,Coxa_5,coxa_5_joint,revolute,1.00825406637877,-0.55310373134763,0.106,0,0,0,base_link,0,0,-1,1000,0.5,-2.094,2.094,,,,,,,,
femur_5_link,-0.249999999991003,6.93889390390723E-17,-1.0016154572412E-10,0,0,0,9.59990933168454,0.0909902906443394,1.60445354418709E-17,-8.73590470795715E-11,0.501606623877438,6.531983250411E-18,0.475621900290095,0,0,0,0,0,0,package://athlete_rover/meshes/femur_5_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/femur_5_link.STL,,Femur_5-1,Femur_5_coor,Femur_5,femur_5_joint,revolute,0.167457849285518,-0.091863315380346,0,1.5707963267949,0,2.63984357380784,coxa_5_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
tibia_5_link,0.261818628643969,-6.3043057244444E-06,-9.21716364238323E-05,0,0,0,6.96014125805255,0.0635589134253946,1.44038404459051E-06,1.31705486981007E-05,0.287249194512423,2.09976366256622E-07,0.265244297382873,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_5_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_5_link.STL,,Tibia_5-1,Tibia_5_coor,Tibia_5,tibia_5_joint,revolute,-0.499999999999999,0,0,0,0,3.14159265358979,femur_5_link,0,0,-1,1000,0.5,-1.57,1.57,,,,,,,,
pitch_5_link,-0.103835711575361,1.11022302462516E-16,-2.82732282030906E-10,0,0,0,6.33029453889401,0.0450020126784382,6.57867186439344E-18,1.74865157076542E-12,0.0463115920590276,-4.67072586671456E-18,0.0373029491223062,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_5_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_5_link.STL,,pitch_5-1,Pitch_5_coor,Pitch_5,pitch_5_joint,revolute,0.45,0,0,0,0,-3.14159265358979,tibia_5_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
roll_5_link,-3.17340154154522E-10,-2.4980018054066E-16,0.0362188872061378,0,0,0,2.89141906646132,0.0270370859108735,-1.71405676189309E-18,3.36229655228948E-12,0.0264160616419826,-8.47586132724697E-19,0.0122331983415657,0,0,0,0,0,0,package://athlete_rover/meshes/roll_5_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/roll_5_link.STL,,roll_5-1,Roll_5_coor,Roll_5,roll_5_joint,revolute,-0.22,0,0,3.1416,-1.5708,0,pitch_5_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
wheel_5_link,-1.71611169719199E-10,-3.1282976209468E-10,5.82867087928207E-16,0,0,0,4.7012784751014,0.014956729011549,-5.71547127862865E-18,-6.5044131199705E-18,0.014956729011549,-1.57202280128661E-18,0.0216299418386296,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_5_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_5_link.STL,,Wheel_5-1,Wheel_5_coor,Wheel_5,wheel_5_joint,continuous,0,0,0.21,-1.5707963267949,-1.06904724701294,0,roll_5_link,0,0,1,1000,0.5,,,,,,,,,,
coxa_6_link,0.0820801003794213,0.049810917590959,-2.82973502963024E-08,0,0,0,3.09350193006676,0.0305469275370121,-0.0130753634095859,1.14910261843899E-08,0.0441579718017226,-1.44792654986163E-08,0.0516882226817457,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_6_link.STL,,Coxa_6-1,Coxa_6_coor,Coxa_6,coxa_6_joint,revolute,0.983128915464399,0.596621769279159,0.106,0,0,0,base_link,0,0,-1,1000,0.5,-2.094,2.094,,,,,,,,
femur_6_link,-0.249999999991003,1.38777878078145E-17,-1.11022302462516E-16,0,0,0,9.59990933168454,0.0909902906443395,2.31627282456647E-17,-1.11022302462516E-16,0.501606623877438,5.04447403457353E-18,0.475621900290095,0,0,0,0,0,0,package://athlete_rover/meshes/femur_6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/femur_6_link.STL,,Femur_6-1,Femur_6_coor,Femur_6,femur_6_joint,revolute,0.163284889460506,0.0990910938171062,0,1.5707963267949,0,-2.59614418240227,coxa_6_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
tibia_6_link,-0.261818901511853,6.53753785329059E-06,-9.2388506157226E-05,0,0,0,6.96011256471293,0.0635386720924003,1.74511242086806E-06,-1.23020272945994E-05,0.287252730680045,-8.89510349103986E-07,0.265230667311697,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_6_link.STL,,Tibia_6-1,Tibia_6_coor,Tibia_6,tibia_6_joint,revolute,-0.5,0,0,0,0,0,femur_6_link,0,0,-1,1000,0.5,-1.57,1.57,,,,,,,,
pitch_6_link,-0.103835711575361,-1.38777878078145E-17,6.66133814775094E-16,0,0,0,6.33029453889401,0.0450020126784383,-4.18367410361397E-18,-1.21430643318376E-17,0.0463115920590277,-3.47022457242222E-18,0.0373029491223062,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_6_link.STL,,pitch_6-1,Pitch_6_coor,Pitch_6,pitch_6_joint,revolute,-0.45,0,0,0,0,0,tibia_6_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
roll_6_link,-2.60984567290734E-11,9.64890667365381E-12,0.036218887210044,0,0,0,2.89141906646132,0.0270370859108734,-1.53671546935195E-18,9.97465998686664E-18,0.0264160616419825,-9.35395797648595E-13,0.0122331983415657,0,0,0,0,0,0,package://athlete_rover/meshes/roll_6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/roll_6_link.STL,,roll_6-1,Roll_6_coor,Roll_6,roll_6_joint,revolute,-0.225,0,0,2.6779,-1.5708,-2.6779,pitch_6_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
wheel_6_link,3.65276697777972E-11,-6.01900751462381E-11,4.16333634234434E-17,0,0,0,4.70127847510141,0.014956729011549,-5.38288412276149E-18,-3.29770113907785E-19,0.014956729011549,-1.69062493888613E-18,0.0216299418386296,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_6_link.STL,,Wheel_6-1,Wheel_6_coor,Wheel_6,wheel_6_joint,continuous,0,0,0.210000000003905,1.57079632692202,-1.02534785560738,3.14159265348112,roll_6_link,0,0,1,1000,0.5,,,,,,,,,,
